Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CR1220-2,1,Battery_Cell,
"C1, C15, C66, C67",0603,4,1nF,C1588
"C12, C16, C19, C20, C3, C35, C38, C39, C4, C40, C41, C5, C6, C7, C8, C9",0603,16,100nF,C14663
C17,CP_Elec_6.3x5.4,1,10uF,
"C18, C2, C24, C30, C36, C42, C43, C44, C45, C46, C54, C56",0603,12,100nF,
C21,CP_Elec_5x5.3,1,47uF,
"C22, C55",0603,2,1uF,C15849
"C23, C26",0603,2,33pF,C1663
"C25, C29, C31, C33, C57",0603,5,1uF,
C27,0603,1,20pF,C1648
C28,0603,1,20pF,
C32,0603,1,2.2uF,C23630
C34,0603,1,2.2uF,
C37,CP_Elec_5x5.4,1,47uF,
C49,0603,1,3.3nF,
C50,0603,1,680pF,
C51,0603,1,330pF,
C52,0603,1,47pF,
C53,0603,1,10nF,
"C58, C59",0603,2,10nF,C57112
"D1, D2, D3, D4, D7, D8, D9",0603,7,LED,
D10,0603,1,LED,C2290
D11,D_SOD-323_HandSoldering,1,1N4148WS,C2128
"D12, D6",D_SOD-323_HandSoldering,2,1N4148WS,
"D13, D16, D25, D26, D29, D31, D32, D33",D_SOD-123,8,1N5819W,
D14,D_SMA,1,SS14,C2480
D15,D_SMA,1,SMBJ20A,
D17,SOT-23,1,BAT54S,C7420333
"D18, D19, D20, D21, D22, D23, D24, D27, D30, D35",SOT-23,10,BAT54S,
D34,SOT-23,1,BAT54C,
D5,D_SOD-323_HandSoldering,1,1N4148WS,C2286
"F1, F2",1206,2,Fuse 500mA,
IC3,SOT95P280X145-6N,1,SN74LVC2G17DBVR,C10429
J1,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04,
J10,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
J2,PinHeader_1x04_P2.54mm_Vertical,1,STLink,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,TYPE-C 16PIN 2MD(073),C2765186
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J5,CUI_MSD-1-A,1,THD2528-11SD-GF,
"J6, J7, J8",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J9,15544582,1,1554458-2,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Ignition Voltage,
JP7,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,PP Supply,
JP8,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,GND/HS2,
"LED1, LED3, LED4",0603,3,RED,C2286
LED2,0603,1,RED,SML-310LTT86
"Q1, Q11, Q2, Q3, Q4, Q6",TO-252-3_TabPin2,6,Q_NMOS_GDS,
"Q10, Q7, Q8, Q9",SOT-23,4,AO3400A,C344010
Q5,SOT-23,1,AO3400A,C20917
"R1, R102, R103, R16, R18, R19, R2, R20, R3, R4, R43, R47, R5, R6",0603,14,1k,
R10,0603,1,2.4k,C22940
"R100, R101, R99",0603,3,33K,
"R104, R17, R58",0603,3,1k,C21190
"R105, R106, R107",0603,3,470k,C23178
"R108, R27, R64, R68, R69, R70, R75, R76, R77, R78, R84, R85",0603,12,10K,
R109,0603,1,82K,
"R11, R12, R25, R26",0603,4,470r,
"R13, R65, R66, R71, R72, R73, R74",0603,7,5.6k,
R14,0603,1,10k,C140066
R15,0603,1,1k,C25803
"R21, R30, R31, R34, R38, R39, R40, R48, R59, R62, R63, R67, R8, R90, R92, R94",0603,16,10k,C25804
"R22, R32",0805,2,100R,C17408
"R23, R24, R9",0603,3,2.4k,
"R28, R44",0603,2,5.6k,C23189
"R29, R33, R35, R36, R91",0603,5,2.7k,C13167
"R37, R41, R42, R50, R51, R56, R86",0603,7,2k7,C13167
R45,0603,1,10k,C21190
"R46, R60, R61, R89, R93",0603,5,100R,C22775
R49,0603,1,1k,C13167
"R52, R53, R54, R55",2512,4,15R 2Watt,
R57,0603,1,470R,C13167
"R7, R87, R88",0603,3,470r,RK73H2ATTD4700F
R79,0603,1,5.1K,C23186
R80,0603,1,5.1K,
R81,0603,1,22R,C23345
R82,0603,1,22R,
R83,0603,1,4.7K,C23162
"R95, R98",0603,2,100K,
R96,0603,1,470K,
R97,0603,1,12K,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C354943
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VGTx,C12345
U10,SOIC127P600X175-8N,1,MCP6002-xSN,
U11,SOT-23-6,1,SRV05-4,
"U2, U4, U9",SOIC127P599X175-8N,3,TC4424AVOA,C44150
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U5, U6",SOIC127P600X175-14N,2,MCP6004,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T/3/1J,
U8,TO-263-3_TabPin2,1,LM2940S-5.0,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8Mhz,C115962
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C32346
