Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C21, C22, C24, C4, C6, C7",0805,8,1u,C28323
C10,0805,1,4.7u,C1779
"C11, C12, C13, C14, C16, C2, C5, C8, C9",0805,9,100n,C28233
"C15, C18, C19, C20",1206,4,10u,C13585
C23,0805,1,22u,C45783
"C25, C26",0805,2,47p,C14857
C3,0805,1,33n,C1739
D1,0805,1,RED,C2286
D2,0805,1,GREEN,C84256
D3,0805,1,BLUE,C84256
D4,0603,1,RED,C2286
D5,D_SMB_Handsoldering,1,D_TVS,C151279
D6,D_SMA,1,SS14,C2480
J1,Molex_Mini-Fit_Jr_5569-12A2_2x06_P4.20mm_Horizontal,1,Conn_02x06_Top_Bottom,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J5, J6",TestPoint_Pad_D1.5mm,3,Conn_01x01_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,CAN_Terminator,
Q1,TO-252-2,1,BTS3028,C112639
"R1, R13, R18, R2, R25, R26, R27, R30",0805,8,1k,C17513
R10,0805,1,61.9,C17779
"R11, R12, R21, R29, R3, R33, R34, R4",0805,8,10k,C17414
R14,0805,1,62k,C17783
"R15, R17, R20",0805,3,100k,C149504
R16,0805,1,6.8k,C17772
R19,0805,1,47k,C17713
R22,0805,1,220,C17557
R23,0805,1,470,C17710
R24,0805,1,3.3k,C26010
R28,0805,1,120R,C17437
"R31, R32",0805,2,68k,C17801
R35,0805,1,DNP,
"R5, R7",0805,2,27k,C17593
R6,0805,1,22k,C17560
R8,0805,1,47,C17714
R9,0805,1,10,C17415
U1,SOIC127P600X175-14N,1,MCP6004,C7378
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F042K6Tx,C69216
U3,SOT-23,1,REF3033,C36658
U4,TO-252-2,1,LM78M05_TO252,C58069
U5,TSOT-23-5,1,AD8628,C29309
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U9,SOT-23,1,XC6206P332MR,C5446
