Designator,Mid X,Mid Y,Rotation,Layer
C1,178.33,-100.77,0.0,top
C10,182.56,-58.78,180.0,top
C11,164.9,-83.96,270.0,top
C12,170.5,-82.4,90.0,top
C13,184.725,-88.725,270.0,top
C14,171.61,-91.57,0.0,top
C15,149.7,-58.0,90.0,top
C16,168.25,-85.6,180.0,top
C17,172.84,-61.92,90.0,top
C18,152.2,-58.0,270.0,top
C19,154.8,-58.0,90.0,top
C2,183.4,-78.85,270.0,top
C20,157.6,-57.9,90.0,top
C21,157.45,-65.6,270.0,top
C22,168.06,-61.93,90.0,top
C23,170.41,-61.91,90.0,top
C24,175.59,-67.02,0.0,top
C25,173.85,-73.54,270.0,top
C26,173.83,-69.91,270.0,top
C3,183.6,-93.79,180.0,top
C4,161.39,-89.925,270.0,top
C5,170.5,-78.85,270.0,top
C6,161.75,-69.85,0.0,top
C7,174.07,-58.32,270.0,top
C8,179.575,-62.2,90.0,top
C9,171.57,-58.32,270.0,top
D1,156.78,-96.32,270.0,top
D2,161.9,-77.76,0.0,top
D3,161.905,-75.385,0.0,top
D4,179.7,-57.3,90.0,top
D5,144.6,-61.2,90.0,top
D6,152.3,-64.3,180.0,top
J1,147.475,-80.65,90.0,top
J2,184.45,-69.05,0.0,top
J4,167.95,-69.74,90.0,top
Q1,144.36,-98.4,180.0,top
R1,177.5,-57.95,90.0,top
R10,158.14,-83.6875,270.0,top
R11,161.61,-82.92,180.0,top
R12,161.63,-85.11,180.0,top
R13,158.18,-75.36,0.0,top
R14,184.7,-75.95,180.0,top
R15,163.8,-87.14,0.0,top
R16,180.72,-75.92,270.0,top
R17,164.27,-79.98,180.0,top
R18,182.55,-56.75,0.0,top
R19,178.49,-75.91,270.0,top
R2,178.33,-98.45,0.0,top
R20,158.0625,-69.825,0.0,top
R21,161.75,-72.075,0.0,top
R22,172.725,-66.225,270.0,top
R23,169.87,-65.78,180.0,top
R24,167.58,-81.84,270.0,top
R25,157.75,-99.925,270.0,top
R26,153.5,-96.4,0.0,top
R27,153.45,-100.6,0.0,top
R28,165.24,-73.37,270.0,top
R29,175.05,-78.85,0.0,top
R3,163.61,-89.88,270.0,top
R30,158.2,-77.76,0.0,top
R31,179.8625,-93.76,0.0,top
R32,179.86,-96.28,0.0,top
R33,177.0,-94.5,270.0,top
R34,183.66,-96.01,180.0,top
R4,161.32,-98.45,90.0,top
R5,161.79,-95.23,180.0,top
R6,176.35,-75.88,270.0,top
R7,164.79,-94.46,270.0,top
R8,183.67,-98.1,180.0,top
R9,165.7,-89.85,270.0,top
U1,170.71,-96.44,270.0,top
U2,178.125,-85.575,270.0,top
U3,176.1625,-62.225,0.0,top
U4,163.28,-60.36,90.0,top
U5,167.0,-76.95,180.0,top
U6,178.63,-70.93,90.0,top
U9,182.75,-61.5925,0.0,top
